,RCDTS,School_Name,School_Type,County,#_Student_Enrollment,Perc_Student_Enrollment_Low_Income,Student_Attendance_Rate,$_Site_level_Per_Pupil_Expenditures_Subtotal,$_District_Centralized_Per_Pupil_Expenditure_Subtotal,$_Total_Per_Pupil_Expenditures_Subtotal,SAT_Reading_Average,SAT_Math_Average,Address,City,County_Name,Rec_Type,Zip,Lat,Lng,Avg_Home_Value
202,1.50163E+14,Steinmetz College Prep HS,HIGH SCHOOL,Cook,1227,82.9,86.2,9503.11,3166.73,12669.84,435.3,417.5,3030 N Mobile Ave,Chicago,Cook,Sch,60634,41.935631,-87.784152,279025.67
202,1.50163E+14,Chicago Academy High School,HIGH SCHOOL,Cook,559,80,94.1,8371.81,2713.33,11085.14,468.7,452.4,3400 N Austin Ave,Chicago,Cook,Sch,60634,41.9429136,-87.7770251,279025.67
202,1.50163E+14,Rickover Naval Academy High Schl,HIGH SCHOOL,Cook,458,86.5,92.2,10705.45,2446.58,13152.03,481.1,476.4,5700 W Berteau Ave,Chicago,Cook,Sch,60634,41.9574268,-87.7706448,279025.67
3445,1.50163E+14,Taft High School,HIGH SCHOOL,Cook,3398,46.6,90.5,7403.32,3124.92,10528.24,501.5,491,6530 W Bryn Mawr Ave,Chicago,Cook,Sch,60631,41.9845411,-87.7917807,352595.67
4,1.50163E+14,Lincoln Park High School,HIGH SCHOOL,Cook,2104,46.8,90.7,7240.09,2751.43,9991.52,532.3,540.4,2001 N Orchard St,Chicago,Cook,Sch,60614,41.9193918,-87.6455484,650121.83
128,1.50163E+14,Washington G High School,HIGH SCHOOL,Cook,1435,85.8,89.7,8123.67,3089.07,11212.74,452.5,443.5,3535 E 114th St,Chicago,Cook,Sch,60617,41.6875577,-87.5388128,109725.08
128,1.50163E+14,Chicago Vocational Career Acad HS,HIGH SCHOOL,Cook,875,92.6,83.6,10829.08,4176.82,15005.9,392.3,389.4,2100 E 87th St,Chicago,Cook,Sch,60617,41.7376946,-87.5743148,109725.08
128,1.50163E+14,Bowen High School,HIGH SCHOOL,Cook,250,86,83.4,16460.93,5156.59,21617.52,410.2,403.4,2710 E 89th St,Chicago,Cook,Sch,60617,41.7342718,-87.5575844,109725.08
314,1.50163E+14,Wells Community Academy HS,HIGH SCHOOL,Cook,358,89.7,86.2,11793.81,3996.65,15790.46,408.6,406.7,936 N Ashland Ave,Chicago,Cook,Sch,60622,41.8993351,-87.6677931,516060.67
314,1.50163E+14,Clemente Community Academy HS,HIGH SCHOOL,Cook,697,87.7,81.1,10486.91,3467.55,13954.46,425.4,396.2,1147 N Western Ave,Chicago,Cook,Sch,60622,41.9026513,-87.6861165,516060.67
314,1.50163E+14,Chicago HS for the Arts,HIGH SCHOOL,Cook,611,37,97.4,15661.98003,958.02,16620.00003,506.9,473.3,2714 W Augusta Blvd,Chicago,Cook,Sch,60622,41.8994704,-87.6948413,516060.67
2565,1.50163E+14,Crane Medical Prep HS,HIGH SCHOOL,Cook,428,86.7,84.7,9738.53,3075.68,12814.21,462.2,457.7,2245 W Jackson Blvd,Chicago,Cook,Sch,60612,41.876853,-87.683244,296892.58
2565,1.50163E+14,Manley Career Academy High School,HIGH SCHOOL,Cook,80,85,74.3,26512.47,6438.47,32950.94,385.8,357.3,2935 W Polk St,Chicago,Cook,Sch,60612,41.8704946,-87.7004769,296892.58
2565,1.50163E+14,Phoenix Military Academy HS,HIGH SCHOOL,Cook,545,88.6,94.9,9941.14,3209.37,13150.51,482.6,490,145 S Campbell Ave,Chicago,Cook,Sch,60612,41.8790171,-87.6883891,296892.58
316,1.50163E+14,Dunbar Vocational Career Acad HS,HIGH SCHOOL,Cook,312,95.8,86.7,17899.95,5104.98,23004.93,402.1,386.3,3000 S King Dr,Chicago,Cook,Sch,60616,41.84005,-87.6184116,363226.83
1227,1.50163E+14,Jones College Prep High School,HIGH SCHOOL,Cook,1908,37.5,92.6,7340.08,2862.84,10202.92,640.1,644.5,700 S State St,Chicago,Cook,Sch,60605,41.8729828,-87.6279698,388470.17
183,1.50163E+14,Simeon Career Academy High School,HIGH SCHOOL,Cook,1338,88.6,88.2,7908.4,3141.08,11049.48,417.8,405.1,8147 S Vincennes Ave,Chicago,Cook,Sch,60620,41.7455554,-87.6345246,132995.08
2246,1.50163E+14,Young Magnet High School,HIGH SCHOOL,Cook,2208,37.8,95.4,7577.59,3390.1,10967.69,637.4,655.4,211 S Laflin St,Chicago,Cook,Sch,60607,41.8781343,-87.6638166,425200.58
500,1.50163E+14,Juarez Community Academy HS,HIGH SCHOOL,Cook,1702,71.9,85.7,8652.12,3049.16,11701.28,432,415.2,1450 W Cermak Rd,Chicago,Cook,Sch,60608,41.8530157,-87.6644329,284904.25
500,1.50163E+14,Devry Advantage Academy High Schl,HIGH SCHOOL,Cook,171,72.5,95.6,11363.3,2329.15,13692.45,526.7,549,1326 W 14Th Pl,Chicago,Cook,Sch,60608,41.8626381,-87.6606636,284904.25
500,1.50163E+14,Chicago Technology Academy HS,HIGH SCHOOL,Cook,272,89.3,90.1,13722.48276,1621.1,15343.58276,414.9,393.4,1301 W 14th St,Chicago,Cook,Sch,60608,41.8630879,-87.659893,284904.25
4386,1.50163E+14,Chicago HS for Agricult Sciences,HIGH SCHOOL,Cook,761,39.8,93.6,10698.04,4060.3,14758.34,496.1,500.7,3857 W 111th St,Chicago,Cook,Sch,60655,41.6904447,-87.7169538,247562.75
68,1.50163E+14,Payton College Preparatory HS,HIGH SCHOOL,Cook,1153,31,94.3,8468.06,2961.84,11429.9,669.7,677.2,1034 N Wells St,Chicago,Cook,Sch,60610,41.9018199,-87.6355265,439640.08
2042,1.50163E+14,Clark Acad Prep Magnet High Schl,HIGH SCHOOL,Cook,516,76.4,90.7,10844.38,3547.16,14391.54,408.5,391.6,5101 W Harrison St,Chicago,Cook,Sch,60644,41.8725407,-87.7527211,155274
2042,1.50163E+14,Douglass Academy High School,HIGH SCHOOL,Cook,61,85.2,83,28854.26,5506.83,34361.09,400,372.7,543 N Waller Ave,Chicago,Cook,Sch,60644,41.8903432,-87.7673391,155274
2042,1.50163E+14,Austin College and Career Academy High School,HIGH SCHOOL,Cook,195,93.8,81.4,14131.85,3788.46,17920.31,384.7,383.1,231 N Pine Ave,Chicago,Cook,Sch,60644,41.885368,-87.762958,155274
9,1.50163E+14,Uplift Community High School,HIGH SCHOOL,Cook,160,90.6,85.1,22529.8,7857.87,30387.67,392.2,369.4,900 W Wilson Ave,Chicago,Cook,Sch,60640,41.9659879,-87.6521769,310424.83
4342,1.50163E+14,Ogden Int High School,HIGH SCHOOL,Cook,594,63.6,91.6,,,,500.2,483.1,1250 W Erie St,Chicago,Cook,Sch,60642,41.8937679,-87.658807,492589.75
280,1.50163E+14,South Shore Intl Col Prep HS,HIGH SCHOOL,Cook,654,82.1,90.5,9501.09,3591.35,13092.44,478.9,439.2,1955 E 75th St,Chicago,Cook,Sch,60649,41.7580288,-87.5765039,119215.83
