,RegionID,SizeRank,Zip,State,City,Metro,CountyName,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,AvgHomeValue
1666,84648,1681,60651,IL,Chicago,Chicago-Naperville-Elgin,Cook County,189656.0,190174.0,191631.0,193099.0,194185.0,195030.0,196948.0,197942.0,198479.0,197892.0,197412.0,197613.0,195005.08
1671,84438,1686,60193,IL,Schaumburg,Chicago-Naperville-Elgin,Cook County,286015.0,285582.0,285395.0,285197.0,284641.0,284030.0,284010.0,284040.0,283737.0,283176.0,282627.0,282360.0,284234.17
1751,84528,1766,60477,IL,Tinley Park,Chicago-Naperville-Elgin,Cook County,218413.0,218146.0,218080.0,218241.0,218712.0,219047.0,219598.0,219840.0,219912.0,220016.0,219948.0,219734.0,219140.58
1766,84689,1781,60707,IL,Elmwood Park,Chicago-Naperville-Elgin,Cook County,270183.0,269743.0,269946.0,270716.0,270495.0,269748.0,268669.0,267553.0,265923.0,264699.0,264035.0,263910.0,267968.33
1786,84292,1801,60025,IL,Glenview,Chicago-Naperville-Elgin,Cook County,484235.0,483053.0,482168.0,481710.0,480214.0,478648.0,478362.0,478259.0,477375.0,475685.0,473417.0,471043.0,478680.75
1881,84650,1896,60653,IL,Chicago,Chicago-Naperville-Elgin,Cook County,288926.0,288862.0,289426.0,290501.0,291167.0,291325.0,292041.0,293924.0,294748.0,295963.0,295534.0,295441.0,292321.5
1946,84345,1959,60090,IL,Wheeling,Chicago-Naperville-Elgin,Cook County,230177.0,229455.0,229080.0,228893.0,228808.0,228432.0,228314.0,228064.0,227819.0,227361.0,226759.0,226122.0,228273.67
2042,84643,2056,60644,IL,Chicago,Chicago-Naperville-Elgin,Cook County,153498.0,154058.0,155112.0,156567.0,156403.0,156608.0,156024.0,155650.0,154881.0,154636.0,154667.0,155184.0,155274.0
2085,84464,2101,60409,IL,Calumet City,Chicago-Naperville-Elgin,Cook County,94802.0,95050.0,95676.0,96301.0,95977.0,95749.0,96072.0,96633.0,96977.0,97418.0,97745.0,98444.0,96403.67
2117,84453,2133,60302,IL,Oak Park,Chicago-Naperville-Elgin,Cook County,452164.0,451020.0,449092.0,447727.0,445526.0,443360.0,442223.0,441589.0,440346.0,438811.0,436514.0,434104.0,443539.67
2120,84324,2136,60068,IL,Park Ridge,Chicago-Naperville-Elgin,Cook County,424825.0,423740.0,422399.0,421941.0,421335.0,421383.0,421509.0,421635.0,420936.0,420045.0,418308.0,416593.0,421220.75
2190,84330,2206,60074,IL,Palatine,Chicago-Naperville-Elgin,Cook County,280068.0,279327.0,278865.0,278982.0,278979.0,278696.0,278472.0,278184.0,277773.0,277388.0,276961.0,276347.0,278336.83
2246,84609,2261,60607,IL,Chicago,Chicago-Naperville-Elgin,Cook County,425488.0,423118.0,422636.0,423348.0,424954.0,425626.0,426574.0,426794.0,426554.0,426464.0,425754.0,425097.0,425200.58
2489,84445,2509,60202,IL,Evanston,Chicago-Naperville-Elgin,Cook County,336554.0,336209.0,336000.0,336859.0,336418.0,335981.0,335674.0,335548.0,335244.0,334750.0,333812.0,332845.0,335491.17
2565,84614,2586,60612,IL,Chicago,Chicago-Naperville-Elgin,Cook County,297022.0,296608.0,296146.0,296544.0,296729.0,296806.0,296786.0,296757.0,296712.0,297190.0,297556.0,297855.0,296892.58
2670,84276,2693,60007,IL,Elk Grove Village,Chicago-Naperville-Elgin,Cook County,285794.0,285239.0,284776.0,284756.0,284202.0,283284.0,282749.0,282130.0,281546.0,280985.0,280747.0,280404.0,283051.0
2816,84361,2840,60107,IL,Streamwood,Chicago-Naperville-Elgin,Cook County,210409.0,210737.0,211040.0,211253.0,211416.0,211552.0,212071.0,212491.0,212716.0,212876.0,212832.0,212663.0,211838.0
2872,84655,2896,60659,IL,Chicago,Chicago-Naperville-Elgin,Cook County,330412.0,329195.0,328750.0,328794.0,328797.0,329102.0,329558.0,330221.0,331000.0,331989.0,332415.0,333175.0,330284.0
2879,84274,2903,60005,IL,Arlington Heights,Chicago-Naperville-Elgin,Cook County,352263.0,351675.0,351248.0,351558.0,350984.0,350528.0,350244.0,350226.0,349699.0,348972.0,348077.0,347175.0,350220.75
3110,84649,3138,60652,IL,Chicago,Chicago-Naperville-Elgin,Cook County,185079.0,184108.0,183434.0,183807.0,185009.0,185751.0,186715.0,187398.0,187800.0,188026.0,187796.0,187512.0,186036.25
3192,84558,3223,60525,IL,La Grange,Chicago-Naperville-Elgin,Cook County,397755.0,398203.0,399216.0,400074.0,400398.0,400437.0,400823.0,401008.0,400311.0,399462.0,398654.0,398130.0,399539.25
3248,399603,3280,60169,IL,Hoffman Estates,Chicago-Naperville-Elgin,Cook County,255152.0,254717.0,254238.0,254216.0,253846.0,253428.0,253460.0,253158.0,252847.0,251994.0,251148.0,250336.0,253211.67
3423,84691,3456,60714,IL,Niles,Chicago-Naperville-Elgin,Cook County,303232.0,302451.0,302227.0,302274.0,303056.0,303713.0,304753.0,305145.0,305013.0,304469.0,303233.0,302260.0,303485.5
3445,84632,3479,60631,IL,Chicago,Chicago-Naperville-Elgin,Cook County,358781.0,356523.0,354916.0,352952.0,352837.0,352412.0,352351.0,351626.0,350643.0,350102.0,349243.0,348762.0,352595.67
3467,84653,3501,60656,IL,Chicago,Chicago-Naperville-Elgin,Cook County,308938.0,308003.0,307166.0,306313.0,305884.0,305292.0,305159.0,304997.0,304707.0,304780.0,304649.0,304803.0,305890.92
3477,84626,3511,60624,IL,Chicago,Chicago-Naperville-Elgin,Cook County,134164.0,133550.0,134165.0,134777.0,135577.0,136461.0,137732.0,138544.0,138961.0,138812.0,139413.0,140442.0,136883.17
3567,84489,3603,60438,IL,Lansing,Chicago-Naperville-Elgin,Cook County,119770.0,120183.0,120677.0,121242.0,121552.0,121827.0,122280.0,122648.0,122771.0,122849.0,122694.0,122922.0,121784.58
3597,84332,3633,60076,IL,Skokie,Chicago-Naperville-Elgin,Cook County,325713.0,324427.0,323392.0,322921.0,322587.0,322419.0,322302.0,322020.0,321545.0,320999.0,320005.0,318879.0,322267.42
3984,84623,4023,60621,IL,Chicago,Chicago-Naperville-Elgin,Cook County,51284.0,50758.0,50338.0,50334.0,49896.0,49898.0,49831.0,50138.0,50231.0,50432.0,50380.0,50560.0,50340.0
4169,84603,4211,60601,IL,Chicago,Chicago-Naperville-Elgin,Cook County,462244.0,460986.0,459587.0,458844.0,458083.0,457204.0,456578.0,455682.0,455264.0,454895.0,453813.0,452347.0,457127.25
4284,84333,4327,60077,IL,Skokie,Chicago-Naperville-Elgin,Cook County,304521.0,303201.0,302266.0,301755.0,301454.0,301098.0,301430.0,301354.0,300918.0,300096.0,299051.0,298255.0,301283.25
4342,399713,4387,60642,IL,Chicago,Chicago-Naperville-Elgin,Cook County,499392.0,495183.0,492391.0,492171.0,492656.0,492740.0,493467.0,492597.0,491479.0,490885.0,489543.0,488573.0,492589.75
4386,84652,4432,60655,IL,Chicago,Chicago-Naperville-Elgin,Cook County,248348.0,247272.0,246625.0,247139.0,247892.0,248187.0,248338.0,248090.0,247733.0,247428.0,247008.0,246693.0,247562.75
4387,84287,4432,60018,IL,Des Plaines,Chicago-Naperville-Elgin,Cook County,271300.0,270901.0,270808.0,271563.0,272462.0,272819.0,272972.0,272583.0,272142.0,271745.0,271610.0,271276.0,271848.42
4434,84645,4481,60646,IL,Chicago,Chicago-Naperville-Elgin,Cook County,407902.0,405344.0,403168.0,401288.0,401624.0,401727.0,402472.0,402132.0,401618.0,400949.0,399938.0,398807.0,402247.42
4448,84636,4495,60636,IL,Chicago,Chicago-Naperville-Elgin,Cook County,54084.0,54219.0,53693.0,53271.0,52421.0,52095.0,51797.0,51985.0,51990.0,51972.0,52254.0,52313.0,52674.5
4549,84503,4596,60452,IL,Oak Forest,Chicago-Naperville-Elgin,Cook County,201980.0,201785.0,201897.0,202114.0,202389.0,202388.0,202987.0,203193.0,203373.0,203387.0,203241.0,202930.0,202638.67
4591,84346,4639,60091,IL,Wilmette,Chicago-Naperville-Elgin,Cook County,713609.0,712505.0,711632.0,711950.0,710770.0,710094.0,710797.0,711765.0,711337.0,709923.0,707943.0,705679.0,710667.0
4614,84695,4662,60827,IL,Riverdale,Chicago-Naperville-Elgin,Cook County,62210.0,61957.0,61902.0,62202.0,63013.0,63915.0,64522.0,65112.0,65529.0,65845.0,65977.0,66377.0,64046.75
5040,84518,5092,60467,IL,Orland Park,Chicago-Naperville-Elgin,Cook County,352100.0,351258.0,351350.0,352302.0,353154.0,353039.0,353404.0,353605.0,353800.0,353777.0,353479.0,353124.0,352866.0
5179,84517,5230,60466,IL,Park Forest,Chicago-Naperville-Elgin,Cook County,76616.0,76665.0,76792.0,77541.0,77648.0,77708.0,77566.0,77811.0,78138.0,78423.0,78562.0,78639.0,77675.75
5253,84688,5306,60706,IL,Norridge,Chicago-Naperville-Elgin,Cook County,295987.0,295572.0,295378.0,296415.0,296706.0,297426.0,297230.0,296568.0,295179.0,294057.0,293276.0,292698.0,295541.0
5309,84510,5363,60459,IL,Burbank,Chicago-Naperville-Elgin,Cook County,201266.0,202527.0,203823.0,204256.0,204902.0,205582.0,206980.0,207605.0,208062.0,208135.0,208099.0,207704.0,205745.08
